,ticker,timestamp,open_price,highest_price,lowest_price,close_price,MACD,signal,AO,AC,histogram
964,SOLUSDT,2024-09-09,130.07,137.26,126.82,134.99,-5.403028377607882,-5.100418294636243,-13.210411764705896,-0.045447058823549824,-0.30261008297163894
965,SOLUSDT,2024-09-10,134.99,137.99,132.47,135.54,-4.839355514354338,-5.048205738579862,-12.136235294117654,0.9709882352941062,0.20885022422552435
966,SOLUSDT,2024-09-11,135.54,135.82,128.1,132.36,-4.596257339277031,-4.957816058719296,-10.5625588235294,2.0990411764705925,0.36155871944226536
967,SOLUSDT,2024-09-12,132.36,136.78,132.29,135.98,-4.064641876304478,-4.779181222236333,-8.33891176470587,3.3287235294117696,0.714539345931855
968,SOLUSDT,2024-09-13,135.98,139.8,131.37,138.93,-3.3664856944735106,-4.496642116683768,-6.453088235294132,3.6871529411764588,1.1301564222102574
969,SOLUSDT,2024-09-14,138.93,139.74,135.5,137.07,-2.9295087919623484,-4.183215451739485,-4.987382352941154,3.5082529411764884,1.2537066597771362
970,SOLUSDT,2024-09-15,137.07,137.88,130.34,131.28,-3.015643597209049,-3.949701080833398,-4.864323529411735,2.176929411764723,0.9340574836243487
971,SOLUSDT,2024-09-16,131.28,132.36,128.74,131.38,-3.0407846144568964,-3.767917787558098,-4.683088235294122,1.1822705882352809,0.7271331731012016
972,SOLUSDT,2024-09-17,131.38,135.53,130.13,131.44,-3.0210428517370644,-3.6185428003938913,-4.599970588235323,0.5175999999999705,0.5974999486568269
973,SOLUSDT,2024-09-18,131.44,134.37,127.01,134.27,-2.7453928342017377,-3.4439128071554608,-5.2291176470588425,-0.3563411764706075,0.698519972953723
974,SOLUSDT,2024-09-19,134.27,143.99,134.19,142.81,-1.8168876314694558,-3.11850777201826,-4.896294117647074,-0.04173529411765475,1.3016201405488044
975,SOLUSDT,2024-09-20,142.81,152.4,141.15,146.65,-0.7623962318191388,-2.647285463978436,-2.5706470588235106,1.8251764705882634,1.884889232159297
976,SOLUSDT,2024-09-21,146.65,149.82,144.55,149.38,0.2902382976142235,-2.0597807116599043,0.6592941176470504,3.9866411764705902,2.3500190092741278
977,SOLUSDT,2024-09-22,149.38,149.88,140.81,144.59,0.7295361392202722,-1.501917341483869,3.098911764705889,4.8864823529411865,2.231453480704141
978,SOLUSDT,2024-09-23,144.59,149.01,142.01,144.71,1.0749742072680704,-0.9865390317334812,6.04644117647058,5.578899999999993,2.0615132390015516
979,SOLUSDT,2024-09-24,144.71,153.96,142.98,152.7,1.970745067336651,-0.3950822119194548,7.71597058823528,4.725976470588222,2.3658272792561057
980,SOLUSDT,2024-09-25,152.7,153.98,147.2,147.91,2.2679929483893773,0.1375328201423116,8.246470588235269,3.093052941176455,2.1304601282470657
981,SOLUSDT,2024-09-26,147.91,158.48,146.51,155.48,3.0789080352724056,0.7258078631683305,9.185970588235307,2.327217647058842,2.3531001721040754
982,SOLUSDT,2024-09-27,155.48,162.01,153.82,157.58,3.8466744647645896,1.3499811834875826,11.676147058823545,3.1019470588235496,2.496693281277007
983,SOLUSDT,2024-09-28,157.58,159.4,154.87,156.69,4.333366972603017,1.9466583413106695,14.042764705882377,3.8693000000000204,2.386708631292347
984,SOLUSDT,2024-09-29,156.69,161.79,155.0,158.38,4.800110481905421,2.5173487694296197,16.037029411764678,4.199352941176443,2.282761712475801
985,SOLUSDT,2024-09-30,158.38,159.78,151.66,152.44,4.6372444509383115,2.941327905731358,16.958323529411786,3.378276470588247,1.6959165452069533
986,SOLUSDT,2024-10-01,152.44,157.33,142.11,145.07,3.8688765411955615,3.1268376328241994,16.251411764705864,1.2582764705882141,0.7420389083713621
987,SOLUSDT,2024-10-02,145.07,148.89,138.41,140.09,2.825524172694003,3.0665749407981604,13.365911764705857,-1.965176470588256,-0.2410507681041576
988,SOLUSDT,2024-10-03,140.09,143.0,132.91,136.73,1.7078489646350192,2.7948297455655324,9.483441176470564,-4.935782352941185,-1.0869807809305132
989,SOLUSDT,2024-10-04,136.73,144.88,135.83,143.14,1.3240538704049811,2.5006745705334223,5.769411764705865,-6.5962882352941214,-1.1766207001284412
990,SOLUSDT,2024-10-05,143.14,144.9,140.93,142.51,0.9580143650064201,2.1921425294280223,2.8825294117647218,-6.668011764705852,-1.2341281644216022
991,SOLUSDT,2024-10-06,142.51,146.77,141.91,146.4,0.9706271244234586,1.9478394484271098,1.415941176470625,-5.167505882352901,-0.9772123240036512
992,SOLUSDT,2024-10-07,146.4,152.36,143.37,143.85,0.7660288347994708,1.711477325701582,1.8018823529411634,-2.4687588235294244,-0.9454484909021112
993,SOLUSDT,2024-10-08,143.85,145.53,141.01,143.4,0.5611039203100177,1.4814026446232693,2.4372352941176416,-0.42416470588236166,-0.9202987243132517
994,SOLUSDT,2024-10-09,143.4,145.25,138.56,139.26,0.06389945545009823,1.1979020067886352,2.4504705882353335,0.25285882352943645,-1.134002551338537
995,SOLUSDT,2024-10-10,139.26,140.85,135.39,138.97,-0.34951030426012153,0.888419544578884,1.167647058823519,-0.6869882352941374,-1.2379298488390056
996,SOLUSDT,2024-10-11,138.97,146.52,138.56,145.5,-0.148512135323557,0.6810332085983958,0.3426470588235304,-1.2973294117647072,-0.8295453439219528
997,SOLUSDT,2024-10-12,145.5,147.23,144.63,146.32,0.07607061396092263,0.5600406896709011,-0.5393529411764746,-1.7110823529411845,-0.4839700757099785
998,SOLUSDT,2024-10-13,146.32,148.82,144.41,147.64,0.3564580031272726,0.5193241523621754,-0.29902941176467834,-0.9235058823529243,-0.16286614923490284
999,SOLUSDT,2024-10-14,147.64,158.27,146.72,157.55,1.3626138436065958,0.6879820906110595,1.3111764705882365,0.9145588235294099,0.6746317529955362
1000,SOLUSDT,2024-10-15,157.55,159.55,150.26,154.66,1.9048429055934548,0.9313542536075385,3.993323529411782,3.031570588235303,0.9734886519859163
1001,SOLUSDT,2024-10-16,154.66,158.4,152.92,154.21,2.2720611973997507,1.199495642365981,5.996000000000009,3.9035764705882343,1.0725655550337696
1002,SOLUSDT,2024-10-17,154.21,155.7,147.6,150.44,2.23313466024058,1.4062234459409009,6.66749999999999,3.133705882352922,0.8269112142996793
1003,SOLUSDT,2024-10-18,150.44,156.64,149.55,154.87,2.530578146395186,1.631094386031758,7.508352941176469,2.4130823529411716,0.899483760363428
1004,SOLUSDT,2024-10-19,154.87,159.87,153.4,159.76,3.1248648874405944,1.9298484863135255,7.673852941176449,1.3060470588235091,1.195016401127069
1005,SOLUSDT,2024-10-20,159.76,167.99,157.51,167.43,4.166715013474004,2.3772217917456215,8.295794117647034,1.067494117647044,1.7894932217283825
1006,SOLUSDT,2024-10-21,167.43,171.75,161.3,166.14,4.83258944254888,2.8682953219062735,9.47776470588235,1.5531117647058919,1.9642941206426063
1007,SOLUSDT,2024-10-22,166.14,171.0,162.92,167.58,5.414085483077088,3.377453354140436,11.472999999999985,2.587247058823527,2.0366321289366516
1008,SOLUSDT,2024-10-23,167.58,174.31,164.08,170.8,6.064840666019961,3.9149308165163412,13.807558823529433,3.661964705882383,2.14990984950362
1009,SOLUSDT,2024-10-24,170.8,179.24,170.44,177.09,7.007342981248513,4.533413249462776,16.623117647058848,4.687670588235317,2.473929731785737
1010,SOLUSDT,2024-10-25,177.09,177.53,158.64,164.79,6.684718379433264,4.963674275456874,17.075411764705876,3.3840411764705784,1.7210441039763893
1011,SOLUSDT,2024-10-26,164.79,173.21,162.4,170.78,6.8336054477611015,5.33766050991772,16.670823529411763,1.5408411764705825,1.4959449378433813
1012,SOLUSDT,2024-10-27,170.78,178.23,170.18,176.53,7.331068473399597,5.7363421026140955,17.275852941176424,0.9852999999999561,1.5947263707855015
1013,SOLUSDT,2024-10-28,176.53,179.84,172.3,178.22,7.77208858210895,6.143491398513067,17.839088235294128,0.7422294117647183,1.6285971835958826
